Date,Close/Last,Volume,Open,High,Low
12/15/2022,$249.01,35568090,$253.72,$254.20,$247.34
12/14/2022,$257.22,35410930,$257.13,$262.588,$254.31
12/13/2022,$256.92,42196880,$261.69,$263.915,$253.07
12/12/2022,$252.51,30665070,$247.445,$252.54,$247.17
12/09/2022,$245.42,20609740,$244.695,$248.31,$244.16
12/08/2022,$247.40,22611760,$244.84,$248.74,$243.06
12/07/2022,$244.37,20481520,$244.83,$246.16,$242.205
12/06/2022,$245.12,22463730,$250.82,$251.86,$243.78
12/05/2022,$250.20,23435290,$252.01,$253.819,$248.06
12/02/2022,$255.02,21528520,$249.82,$256.06,$249.69
12/01/2022,$254.69,26041520,$253.87,$256.12,$250.9156
11/30/2022,$255.14,47594240,$240.57,$255.33,$239.86
11/29/2022,$240.33,17956310,$241.40,$242.79,$238.21
11/28/2022,$241.76,24810270,$246.08,$246.65,$240.80
11/25/2022,$247.49,9200772,$247.31,$248.70,$246.73
11/23/2022,$247.58,19508460,$245.105,$248.28,$244.27
11/22/2022,$245.03,19665700,$243.59,$245.31,$240.71
11/21/2022,$242.05,26394700,$241.43,$244.67,$241.19
11/18/2022,$241.22,27613520,$243.51,$243.74,$239.03
11/17/2022,$241.68,23123540,$237.78,$243.25,$237.63
11/16/2022,$241.73,24093270,$242.79,$243.80,$240.42
11/15/2022,$241.97,31390120,$245.66,$247.00,$240.03
11/14/2022,$241.55,31123340,$241.985,$243.91,$239.21
11/11/2022,$247.11,34620250,$242.99,$247.99,$241.93
11/10/2022,$242.98,46268020,$235.43,$243.33,$235.00
11/09/2022,$224.51,27852910,$227.37,$228.6327,$224.33
11/08/2022,$228.87,28192550,$228.70,$231.65,$225.84
11/07/2022,$227.87,33497980,$221.99,$228.41,$221.28
11/04/2022,$221.39,36789060,$217.55,$221.59,$213.431
11/03/2022,$214.25,36633920,$220.09,$220.41,$213.98
11/02/2022,$220.10,38407010,$229.46,$231.30,$220.04
11/01/2022,$228.17,30592270,$234.60,$235.74,$227.325
10/31/2022,$232.13,28357270,$233.76,$234.92,$231.15
10/28/2022,$235.87,40647720,$226.24,$236.60,$226.05
10/27/2022,$226.75,40424650,$231.04,$233.69,$225.78
10/26/2022,$231.32,82684850,$231.17,$238.30,$230.06
10/25/2022,$250.66,34775510,$247.26,$251.04,$245.83
10/24/2022,$247.25,24911210,$243.76,$247.84,$241.295
10/21/2022,$242.12,26299730,$234.74,$243.00,$234.50
10/20/2022,$236.15,21811020,$235.77,$241.31,$234.87
10/19/2022,$236.48,19985700,$237.04,$239.61,$234.29
10/18/2022,$238.50,26329590,$243.24,$243.93,$235.37
10/17/2022,$237.53,28142270,$235.82,$238.96,$235.135
10/14/2022,$228.56,30198590,$235.54,$237.24,$228.34
10/13/2022,$234.24,42551820,$219.85,$236.10,$219.13
10/12/2022,$225.75,21903940,$225.40,$227.86,$223.96
10/11/2022,$225.41,30473950,$227.62,$229.06,$224.11
10/10/2022,$229.25,29743610,$233.05,$234.559,$226.73
10/07/2022,$234.24,37769600,$240.902,$241.32,$233.17
10/06/2022,$246.79,20239890,$247.93,$250.34,$246.08
10/05/2022,$249.20,20347140,$245.99,$250.58,$244.10
10/04/2022,$248.88,34888420,$245.09,$250.36,$244.975
10/03/2022,$240.74,28880360,$235.41,$241.61,$234.66
09/30/2022,$232.90,35694830,$238.29,$240.54,$232.73
09/29/2022,$237.50,27484230,$238.89,$239.95,$234.41
09/28/2022,$241.07,29029680,$236.81,$242.33,$234.73
09/27/2022,$236.41,27018730,$239.98,$241.80,$234.50
09/26/2022,$237.45,27694190,$237.045,$241.45,$236.90
09/23/2022,$237.92,34176050,$239.54,$241.13,$235.20
09/22/2022,$240.98,31061160,$237.87,$243.86,$237.57
09/21/2022,$238.95,28625560,$244.27,$247.66,$238.90
09/20/2022,$242.45,26660300,$242.065,$243.51,$239.64
09/19/2022,$244.52,26826930,$242.465,$245.14,$240.85
09/16/2022,$244.74,39791770,$244.26,$245.30,$242.0627
09/15/2022,$245.38,31530950,$249.77,$251.40,$244.02
09/14/2022,$252.22,23912950,$253.53,$254.23,$249.86
09/13/2022,$251.99,33353320,$258.84,$260.40,$251.59
09/12/2022,$266.65,18747690,$265.78,$267.45,$265.16
09/09/2022,$264.46,22093190,$260.50,$265.23,$260.29
09/08/2022,$258.52,20319910,$257.51,$260.43,$254.79
09/07/2022,$258.09,24126700,$254.70,$258.83,$253.22
09/06/2022,$253.25,21328240,$256.20,$257.83,$251.94
09/02/2022,$256.06,22855380,$261.695,$264.74,$254.47
09/01/2022,$260.40,23263430,$258.87,$260.89,$255.41
08/31/2022,$261.47,24791830,$265.39,$267.11,$261.33
08/30/2022,$262.97,22767070,$266.67,$267.05,$260.66
08/29/2022,$265.23,20338540,$265.85,$267.40,$263.85
08/26/2022,$268.09,27549310,$279.08,$280.34,$267.98
08/25/2022,$278.85,16583410,$277.33,$279.02,$274.52
08/24/2022,$275.79,18137020,$275.41,$277.23,$275.11
08/23/2022,$276.44,17527410,$276.44,$278.86,$275.40
08/22/2022,$277.75,25061070,$282.08,$282.46,$277.22
08/19/2022,$286.15,20570030,$288.90,$289.25,$285.56
08/18/2022,$290.17,17186190,$290.189,$291.91,$289.08
08/17/2022,$291.32,18253360,$289.74,$293.35,$289.47
08/16/2022,$292.71,18102880,$291.99,$294.04,$290.42
08/15/2022,$293.47,18085650,$291.00,$294.18,$290.11
08/12/2022,$291.91,22619680,$288.48,$291.91,$286.94
08/11/2022,$287.02,20065940,$290.85,$291.21,$286.51
08/10/2022,$289.16,24687850,$288.17,$289.81,$286.94
08/09/2022,$282.30,23405240,$279.64,$283.08,$277.61
08/08/2022,$280.32,18757820,$284.05,$285.92,$279.32
08/05/2022,$282.91,16774610,$279.15,$283.65,$278.68
08/04/2022,$283.65,18098670,$281.80,$283.80,$280.1677
08/03/2022,$282.47,23518870,$276.76,$283.50,$276.61
08/02/2022,$274.82,22754180,$276.00,$277.89,$272.38
08/01/2022,$278.01,21539580,$277.82,$281.28,$275.84
07/29/2022,$280.74,32152750,$277.70,$282.00,$276.63
07/28/2022,$276.41,33459330,$269.75,$277.84,$267.87
07/27/2022,$268.74,45994050,$261.16,$270.05,$258.85
07/26/2022,$251.90,39347960,$259.86,$259.88,$249.57
07/25/2022,$258.83,21056000,$260.995,$261.50,$256.81
07/22/2022,$260.36,21881290,$265.24,$265.33,$259.07
07/21/2022,$264.84,22404680,$259.79,$264.89,$257.03
07/20/2022,$262.27,22788280,$259.90,$264.87,$258.91
07/19/2022,$259.53,25012560,$257.575,$259.72,$253.68
07/18/2022,$254.25,20975030,$259.75,$260.84,$253.30
07/15/2022,$256.72,29774050,$255.72,$260.3699,$254.7727
07/14/2022,$254.08,25102820,$250.57,$255.1374,$245.94
07/13/2022,$252.72,29497420,$250.19,$253.55,$248.11
07/12/2022,$253.67,35868450,$265.88,$265.94,$252.04
07/11/2022,$264.51,19519110,$265.65,$266.53,$262.18
07/08/2022,$267.66,19658750,$264.79,$268.10,$263.285
07/07/2022,$268.40,20859870,$265.12,$269.055,$265.02
07/06/2022,$266.21,23824420,$263.75,$267.99,$262.40
07/05/2022,$262.85,22971630,$256.16,$262.98,$254.74
07/01/2022,$259.58,22837690,$256.39,$259.77,$254.61
06/30/2022,$256.83,31730870,$257.05,$259.53,$252.90
06/29/2022,$260.26,20069840,$257.59,$261.97,$255.76
06/28/2022,$256.48,27380250,$263.98,$266.91,$256.32
06/27/2022,$264.89,24615110,$268.205,$268.30,$263.28
06/24/2022,$267.70,33923230,$261.808,$267.98,$261.72
06/23/2022,$258.86,25861450,$255.57,$259.37,$253.63
06/22/2022,$253.13,25961220,$251.89,$257.17,$250.37
06/21/2022,$253.74,29928300,$250.255,$254.75,$249.51
06/17/2022,$247.65,43084780,$244.70,$250.50,$244.03
06/16/2022,$244.97,33169160,$245.98,$247.4174,$243.02
06/15/2022,$251.76,33111730,$248.31,$255.30,$246.42
06/14/2022,$244.49,28651490,$243.86,$245.74,$241.51
06/13/2022,$242.26,46135790,$245.11,$249.0242,$241.53
06/10/2022,$252.99,31445840,$260.58,$260.58,$252.53
